J1	17/08	Olhanense 	20:15	 Estoril Praia		 
J1	18/08	Rio Ave 	18:15	 Marítimo		 
J1	18/08	Benfica 	20:15	 SC Braga		 
J1	19/08	Nacional 	16:00	 V. Setúbal		 
J1	19/08	P. Ferreira 	18:00	 Moreirense		 
J1	19/08	Gil Vicente 	18:15	 FC Porto		 
J1	19/08	V. Guimarães 	20:30	 Sporting		 
J1	20/08	Beira-Mar 	20:15	 Académica		 
J2	26/08	V. Setúbal 	26/08	 Benfica		 
J2	26/08	Marítimo 	26/08	 Gil Vicente		 
J2	26/08	Sporting 	26/08	 Rio Ave		 
J2	26/08	Estoril Praia 	26/08	 P. Ferreira		 
J2	26/08	FC Porto 	26/08	 V. Guimarães		 
J2	26/08	Académica 	26/08	 Olhanense		 
J2	26/08	SC Braga 	26/08	 Beira-Mar		 
J2	26/08	Moreirense 	26/08	 Nacional		 
J3	02/09	Rio Ave 	02/09	 Académica		 
J3	02/09	Marítimo 	02/09	 Sporting		 
J3	02/09	Benfica 	02/09	 Nacional		 
J3	02/09	P. Ferreira 	02/09	 SC Braga		 
J3	02/09	Beira-Mar 	02/09	 Moreirense		 
J3	02/09	Olhanense 	02/09	 FC Porto		 
J3	02/09	V. Guimarães 	02/09	 Estoril Praia		 
J3	02/09	Gil Vicente 	02/09	 V. Setúbal		 
J4	23/09	V. Setúbal 	23/09	 Olhanense		 
J4	23/09	Nacional 	23/09	 P. Ferreira		 
J4	23/09	Sporting 	23/09	 Gil Vicente		 
J4	23/09	Estoril Praia 	23/09	 Marítimo		 
J4	23/09	FC Porto 	23/09	 Beira-Mar		 
J4	23/09	Académica 	23/09	 Benfica		 
J4	23/09	SC Braga 	23/09	 Rio Ave		 
J4	23/09	Moreirense 	23/09	 V. Guimarães		 
J5	30/09	Marítimo 	30/09	 Académica		 
J5	30/09	Gil Vicente 	30/09	 Moreirense		 
J5	30/09	Rio Ave 	30/09	 FC Porto		 
J5	30/09	Sporting 	30/09	 Estoril Praia		 
J5	30/09	P. Ferreira 	30/09	 Benfica		 
J5	30/09	Beira-Mar 	30/09	 V. Setúbal		 
J5	30/09	Olhanense 	30/09	 Nacional		 
J5	30/09	V. Guimarães 	30/09	 SC Braga		 
J6	07/10	V. Setúbal 	07/10	 P. Ferreira		 
J6	07/10	Nacional 	07/10	 Gil Vicente		 
J6	07/10	Benfica 	07/10	 Beira-Mar		 
J6	07/10	Estoril Praia 	07/10	 Rio Ave		 
J6	07/10	FC Porto 	07/10	 Sporting		 
J6	07/10	Académica 	07/10	 V. Guimarães		 
J6	07/10	SC Braga 	07/10	 Olhanense		 
J6	07/10	Moreirense 	07/10	 Marítimo		 
J7	28/10	Sporting 	28/10	 Académica		 
J7	28/10	Rio Ave 	28/10	 Nacional		 
J7	28/10	Marítimo 	28/10	 SC Braga		 
J7	28/10	Estoril Praia 	28/10	 FC Porto		 
J7	28/10	Beira-Mar 	28/10	 P. Ferreira		 
J7	28/10	Olhanense 	28/10	 Moreirense		 
J7	28/10	V. Guimarães 	28/10	 V. Setúbal		 
J7	28/10	Gil Vicente 	28/10	 Benfica		 
J8	04/11	V. Setúbal 	04/11	 Sporting		 
J8	04/11	P. Ferreira 	04/11	 Olhanense		 
J8	04/11	Nacional 	04/11	 Beira-Mar		 
J8	04/11	Benfica 	04/11	 V. Guimarães		 
J8	04/11	FC Porto 	04/11	 Marítimo		 
J8	04/11	Académica 	04/11	 Estoril Praia		 
J8	04/11	SC Braga 	04/11	 Gil Vicente		 
J8	04/11	Moreirense 	04/11	 Rio Ave		 
J9	11/11	Marítimo 	11/11	 V. Setúbal		 
J9	11/11	Sporting 	11/11	 SC Braga		 
J9	11/11	Rio Ave 	11/11	 Benfica		 
J9	11/11	Estoril Praia 	11/11	 Moreirense		 
J9	11/11	FC Porto 	11/11	 Académica		 
J9	11/11	Olhanense 	11/11	 Beira-Mar		 
J9	11/11	V. Guimarães 	11/11	 Nacional		 
J9	11/11	Gil Vicente 	11/11	 P. Ferreira		 
J10	25/11	V. Setúbal 	25/11	 Rio Ave		 
J10	25/11	Nacional 	25/11	 Estoril Praia		 
J10	25/11	Benfica 	25/11	 Olhanense		 
J10	25/11	P. Ferreira 	25/11	 Marítimo		 
J10	25/11	Beira-Mar 	25/11	 V. Guimarães		 
J10	25/11	Académica 	25/11	 Gil Vicente		 
J10	25/11	SC Braga 	25/11	 FC Porto		 
J10	25/11	Moreirense 	25/11	 Sporting		 
J11	09/12	Gil Vicente 	09/12	 Beira-Mar		 
J11	09/12	Rio Ave 	09/12	 P. Ferreira		 
J11	09/12	Marítimo 	09/12	 Nacional		 
J11	09/12	Sporting 	09/12	 Benfica		 
J11	09/12	Estoril Praia 	09/12	 V. Setúbal		 
J11	09/12	FC Porto 	09/12	 Moreirense		 
J11	09/12	Académica 	09/12	 SC Braga		 
